"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27006";"PARIPUEIRA";"17";"6";"Deputado Federal";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"50";"15"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27570";"GIRAU DO PONCIANO";"44";"6";"Deputado Federal";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"20000050577";"Avança Mais Alagoas 1";"MDB / PPS / PDT / PR / PTB / PT / PRTB / PODE / PRP / PSD / PMN / AVANTE";"N";"121";"86"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28614";"SANTANA DO MUNDAÚ";"21";"6";"Deputado Federal";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"20000050577";"Avança Mais Alagoas 1";"MDB / PPS / PDT / PR / PTB / PT / PRTB / PODE / PRP / PSD / PMN / AVANTE";"N";"266";"50"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27359";"CARNEIROS";"19";"3";"Governador";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"20000050444";"Alagoas com o Povo";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"437";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27022";"PARICONHA";"39";"5";"Senador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"20000050444";"Alagoas com o Povo";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"2420";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28657";"SÃO JOSÉ DA LAJE";"16";"6";"Deputado Federal";"Coligação";"20";"PSC";"Partido Social Cristão";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"234";"3"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28657";"SÃO JOSÉ DA LAJE";"16";"5";"Senador";"Coligação";"22";"PR";"Partido da República";"20000050568";"Avança Mais Alagoas";"MDB / PODE / PPS / PDT / PR / PTB / PHS / PV / PT / PRP / PRTB / PSD / DC / PC do B / AVANTE / SOLIDARIEDADE / PMN";"N";"2714";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27812";"LAGOA DA CANOA";"44";"5";"Senador";"Coligação";"17";"PSL";"Partido Social Liberal";"20000050452";"MUDA ALAGOAS DE VERDADE";"PSL / PATRI / PPL";"N";"274";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28070";"MONTEIRÓPOLIS";"29";"5";"Senador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"20000050444";"Alagoas com o Povo";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"1899";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28290";"PASSO DE CAMARAGIBE";"12";"6";"Deputado Federal";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"20000050577";"Avança Mais Alagoas 1";"MDB / PPS / PDT / PR / PTB / PT / PRTB / PODE / PRP / PSD / PMN / AVANTE";"N";"239";"40"
