"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"17";"8";"Deputado Distrital";"Partido isolado";"11";"PP";"Partido Progressista";"70000050051";"PARTIDO ISOLADO";"PP";"N";"4161";"123"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"4";"8";"Deputado Distrital";"Coligação";"19";"PODE";"Podemos";"70000050388";"UNIDOS PELO DF 2";"PSD / PODE";"N";"1319";"64"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"17";"8";"Deputado Distrital";"Coligação";"19";"PODE";"Podemos";"70000050388";"UNIDOS PELO DF 2";"PSD / PODE";"N";"2980";"112"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"13";"8";"Deputado Distrital";"Partido isolado";"23";"PPS";"Partido Popular Socialista";"70000050552";"PARTIDO ISOLADO";"PPS";"N";"803";"193"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"19";"8";"Deputado Distrital";"Coligação";"43";"PV";"Partido Verde";"70000050198";"SUSTENTABILIDADE E TRABALHO";"PDT / PV";"N";"1557";"56"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"13";"8";"Deputado Distrital";"Coligação";"55";"PSD";"Partido Social Democrático";"70000050388";"UNIDOS PELO DF 2";"PSD / PODE";"N";"6387";"141"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"19";"3";"Governador";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"70000050385";"PRA FAZER A DIFERENÇA";"MDB / PP / AVANTE / PSL / PPL";"N";"32110";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"15";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"70000050387";"PRA FAZER A DIFERENÇA I";"MDB / PP / PSL / AVANTE";"N";"3072";"118"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"20";"6";"Deputado Federal";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"70000050599";"RENOVAR DF 2";"PROS / PMB / PMN";"N";"2937";"125"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"10";"6";"Deputado Federal";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"70000050599";"RENOVAR DF 2";"PROS / PMB / PMN";"N";"4544";"118"
