"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04049";"BOM JESUS DO TOCANTINS";"100";"3";"Governador";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"140000050556";"O PARÁ DAQUI PRA FRENTE";"MDB / PP / PRB / PR / PSC / PTB / PHS / PMB / PODE / DC / PTC / PATRI / PSD / AVANTE / PSL / PROS";"N";"3839";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04200";"JACAREACANGA";"102";"5";"Senador";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"140000050556";"O PARÁ DAQUI PRA FRENTE";"MDB / PP / PRB / PR / PSC / PTB / PHS / PMB / PODE / DC / PTC / PATRI / PSD / AVANTE / PSL / PROS";"N";"2411";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04111";"ALTAMIRA";"18";"5";"Senador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"140000050542";"PARTIDO ISOLADO";"PDT";"N";"2566";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04499";"CHAVES";"17";"5";"Senador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"140000050542";"PARTIDO ISOLADO";"PDT";"N";"186";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"05711";"XINGUARA";"61";"6";"Deputado Federal";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"140000050177";"RENOVAÇÃO E TRABALHO";"MDB / PSD / PR / PP / PTB / PSC / PSL / PRB / PMB / PHS / PODE";"N";"831";"219"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04413";"CAMETÁ";"12";"5";"Senador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"140000050545";"PARTIDO ISOLADO";"PSB";"N";"4214";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04898";"MELGAÇO";"99";"6";"Deputado Federal";"Coligação";"19";"PODE";"Podemos";"140000050177";"RENOVAÇÃO E TRABALHO";"MDB / PSD / PR / PP / PTB / PSC / PSL / PRB / PMB / PHS / PODE";"N";"44";"1"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04731";"ITUPIRANGA";"56";"5";"Senador";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"140000050740";"PRA VIVER EM PAZ";"PT / PC do B";"N";"226";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04421";"NOVO REPARTIMENTO";"101";"5";"Senador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"140000050545";"PARTIDO ISOLADO";"PSB";"N";"5215";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"PA";"PA";"PARÁ";"04022";"TAILÂNDIA";"93";"6";"Deputado Federal";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"140000050367";"TODOS PELO PARÁ";"PSDB / DEM / PSB / PDT / SOLIDARIEDADE / PPS / PMN";"N";"928";"243"
