"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"32298";"SANTA ROSA DE LIMA";"26";"3";"Governador";"Coligação";"25";"DEM";"Democratas";"260000050282";"DIGNIDADE PARA O POVO ";"DEM / PRTB / PV";"N";"16";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"32298";"SANTA ROSA DE LIMA";"26";"5";"Senador";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"260000050582";"CORAGEM PARA MUDAR SERGIPE";"PRB / PPS / PSC / PR / PTC / PSDB / SOLIDARIEDADE";"N";"273";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"31976";"PACATUBA";"15";"3";"Governador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"260000050582";"CORAGEM PARA MUDAR SERGIPE";"PRB / PPS / PSC / PR / PTC / PSDB / SOLIDARIEDADE";"N";"1772";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"31194";"CAMPO DO BRITO";"24";"5";"Senador";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"260000050015";"PARTIDO ISOLADO";"PSOL";"N";"496";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"32077";"POÇO REDONDO";"28";"5";"Senador";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"260000050015";"PARTIDO ISOLADO";"PSOL";"N";"298";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"31950";"NOSSA SENHORA DO SOCORRO";"34";"6";"Deputado Federal";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"260000050559";"SERGIPE MERECE MAIS";"PSB / PDT / PPL / PTB / PROS / PRP";"N";"13527";"509"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"31615";"ITABI";"8";"5";"Senador";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"260000050015";"PARTIDO ISOLADO";"PSOL";"N";"135";"0"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"31852";"MURIBECA";"5";"6";"Deputado Federal";"Coligação";"31";"PHS";"Partido Humanista da Solidariedade";"260000050630";"PRA SERGIPE AVANÇAR";"PP / MDB / DC / PC do B / PSD / PT / PHS";"N";"2";"4"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"32174";"RIACHUELO";"13";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"260000050630";"PRA SERGIPE AVANÇAR";"PP / MDB / DC / PC do B / PSD / PT / PHS";"N";"497";"12"
"18/10/2018";"15:15:47";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"SE";"SE";"SERGIPE";"32255";"SANTA LUZIA DO ITANHY";"35";"6";"Deputado Federal";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"260000050559";"SERGIPE MERECE MAIS";"PSB / PDT / PPL / PTB / PROS / PRP";"N";"23";"40"
